frame,t_sec,landmark,x_world,y_world,z_world,visibility,width,height,fps
0,0.0,NOSE,-0.03941446170210838,-0.589739203453064,-0.3502783477306366,0.9999744892120361,854,480,29.0
0,0.0,LEFT_EYE_INNER,-0.03739308938384056,-0.6298416256904602,-0.33842894434928894,0.9999226331710815,854,480,29.0
0,0.0,LEFT_EYE,-0.037038933485746384,-0.6301648020744324,-0.337779700756073,0.9999231100082397,854,480,29.0
0,0.0,LEFT_EYE_OUTER,-0.037149325013160706,-0.630652129650116,-0.3378337621688843,0.9999301433563232,854,480,29.0
0,0.0,RIGHT_EYE_INNER,-0.06877367198467255,-0.6216760277748108,-0.33613789081573486,0.9999046325683594,854,480,29.0
0,0.0,RIGHT_EYE,-0.06842778623104095,-0.622675359249115,-0.3369055688381195,0.9998925924301147,854,480,29.0
0,0.0,RIGHT_EYE_OUTER,-0.06873014569282532,-0.6238874197006226,-0.33613109588623047,0.9998893737792969,854,480,29.0
0,0.0,LEFT_EAR,0.01741112396121025,-0.6301256418228149,-0.23361243307590485,0.9998514652252197,854,480,29.0
0,0.0,RIGHT_EAR,-0.12503132224082947,-0.6050974726676941,-0.23302239179611206,0.9997578263282776,854,480,29.0
0,0.0,MOUTH_LEFT,-0.011508917436003685,-0.571114718914032,-0.31105929613113403,0.9999630451202393,854,480,29.0
0,0.0,MOUTH_RIGHT,-0.0530269630253315,-0.5622013211250305,-0.3097277283668518,0.9999470710754395,854,480,29.0
0,0.0,LEFT_SHOULDER,0.13601438701152802,-0.46013614535331726,-0.14308030903339386,0.999953031539917,854,480,29.0
0,0.0,RIGHT_SHOULDER,-0.18234016001224518,-0.4378930330276489,-0.14583458006381989,0.999893069267273,854,480,29.0
0,0.0,LEFT_ELBOW,0.1652194708585739,-0.22674492001533508,-0.10945474356412888,0.9865579009056091,854,480,29.0
0,0.0,RIGHT_ELBOW,-0.23805618286132812,-0.1950189471244812,-0.08511640131473541,0.9659770131111145,854,480,29.0
0,0.0,LEFT_WRIST,0.20423449575901031,-0.018923316150903702,-0.20174601674079895,0.9777300357818604,854,480,29.0
0,0.0,RIGHT_WRIST,-0.28879374265670776,0.040227074176073074,-0.15719597041606903,0.9161843657493591,854,480,29.0
0,0.0,LEFT_PINKY,0.21723829209804535,0.056797102093696594,-0.2272913008928299,0.9500788450241089,854,480,29.0
0,0.0,RIGHT_PINKY,-0.29533126950263977,0.11907459795475006,-0.17359532415866852,0.8572608828544617,854,480,29.0
0,0.0,LEFT_INDEX,0.2000531554222107,0.0638057291507721,-0.2625768780708313,0.9545741677284241,854,480,29.0
0,0.0,RIGHT_INDEX,-0.28730887174606323,0.11941004544496536,-0.20881588757038116,0.8683052659034729,854,480,29.0
0,0.0,LEFT_THUMB,0.1963576078414917,-0.0015205135568976402,-0.21529629826545715,0.9445214867591858,854,480,29.0
0,0.0,RIGHT_THUMB,-0.2775585949420929,0.05747557803988457,-0.17314746975898743,0.8587944507598877,854,480,29.0
0,0.0,LEFT_HIP,0.11045312136411667,0.002293867524713278,0.010248865000903606,0.9989264607429504,854,480,29.0
0,0.0,RIGHT_HIP,-0.1108338013291359,-0.002952991519123316,-0.008882377296686172,0.9989314675331116,854,480,29.0
0,0.0,LEFT_KNEE,0.06852704286575317,0.42610442638397217,0.001202000887133181,0.9640586376190186,854,480,29.0
0,0.0,RIGHT_KNEE,-0.08553990721702576,0.3943041265010834,-0.011260094121098518,0.9751816391944885,854,480,29.0
0,0.0,LEFT_ANKLE,0.07319322973489761,0.7734236717224121,0.12693122029304504,0.9648370742797852,854,480,29.0
0,0.0,RIGHT_ANKLE,-0.0709012895822525,0.7562391757965088,0.11442737281322479,0.9608860015869141,854,480,29.0
0,0.0,LEFT_HEEL,0.07888930290937424,0.8164877891540527,0.12840165197849274,0.7984320521354675,854,480,29.0
0,0.0,RIGHT_HEEL,-0.06877610087394714,0.8022463917732239,0.11717477440834045,0.6526097655296326,854,480,29.0
0,0.0,LEFT_FOOT_INDEX,0.11582121253013611,0.865450382232666,0.0018344571581110358,0.9492917060852051,854,480,29.0
0,0.0,RIGHT_FOOT_INDEX,-0.07372961193323135,0.8577940464019775,-0.023680180311203003,0.9412892460823059,854,480,29.0
1,0.034482758620689655,NOSE,-0.03632311522960663,-0.5896340012550354,-0.35078880190849304,0.9999748468399048,854,480,29.0
1,0.034482758620689655,LEFT_EYE_INNER,-0.033407118171453476,-0.6298068761825562,-0.3394136130809784,0.9999232292175293,854,480,29.0
1,0.034482758620689655,LEFT_EYE,-0.03304849937558174,-0.6301327347755432,-0.3387799561023712,0.9999234676361084,854,480,29.0
1,0.034482758620689655,LEFT_EYE_OUTER,-0.03316571190953255,-0.6306176781654358,-0.33882012963294983,0.9999300241470337,854,480,29.0
1,0.034482758620689655,RIGHT_EYE_INNER,-0.06486376374959946,-0.6216755509376526,-0.3368707001209259,0.9999063014984131,854,480,29.0
1,0.034482758620689655,RIGHT_EYE,-0.06452922523021698,-0.6226743459701538,-0.33766478300094604,0.9998943209648132,854,480,29.0
1,0.034482758620689655,RIGHT_EYE_OUTER,-0.06480148434638977,-0.6238868832588196,-0.3368491232395172,0.9998911023139954,854,480,29.0
1,0.034482758620689655,LEFT_EAR,0.02282649651169777,-0.6310952305793762,-0.23510853946208954,0.9998539686203003,854,480,29.0
1,0.034482758620689655,RIGHT_EAR,-0.12074850499629974,-0.607455849647522,-0.2333487868309021,0.9997647404670715,854,480,29.0
1,0.034482758620689655,MOUTH_LEFT,-0.008333249017596245,-0.5711571574211121,-0.31152376532554626,0.9999633431434631,854,480,29.0
1,0.034482758620689655,MOUTH_RIGHT,-0.05010730028152466,-0.5623496174812317,-0.30994734168052673,0.9999479055404663,854,480,29.0
1,0.034482758620689655,LEFT_SHOULDER,0.1412476897239685,-0.4626510441303253,-0.144266739487648,0.9999520182609558,854,480,29.0
1,0.034482758620689655,RIGHT_SHOULDER,-0.18069355189800262,-0.4416058361530304,-0.1457836776971817,0.9998951554298401,854,480,29.0
1,0.034482758620689655,LEFT_ELBOW,0.17035268247127533,-0.22853541374206543,-0.11030905693769455,0.9866155982017517,854,480,29.0
