frame,t_sec,landmark,x_world,y_world,z_world,visibility,width,height,fps
0,0.0,NOSE,-0.09773606061935425,-0.5918413400650024,-0.10409817844629288,0.999984860420227,1080,1920,30.0
0,0.0,LEFT_EYE_INNER,-0.09597854316234589,-0.631862461566925,-0.10619752109050751,0.9999570846557617,1080,1920,30.0
0,0.0,LEFT_EYE,-0.09562152624130249,-0.6322952508926392,-0.10555768013000488,0.9999569654464722,1080,1920,30.0
0,0.0,LEFT_EYE_OUTER,-0.09579315781593323,-0.6325459480285645,-0.10551981627941132,0.9999653100967407,1080,1920,30.0
0,0.0,RIGHT_EYE_INNER,-0.11810518056154251,-0.6222994327545166,-0.08960286527872086,0.9999469518661499,1080,1920,30.0
0,0.0,RIGHT_EYE,-0.11784940958023071,-0.623275637626648,-0.09017757326364517,0.9999362230300903,1080,1920,30.0
0,0.0,RIGHT_EYE_OUTER,-0.11810626089572906,-0.6244697570800781,-0.08938806504011154,0.9999440908432007,1080,1920,30.0
0,0.0,LEFT_EAR,-0.013633852824568748,-0.6562414765357971,-0.05663228780031204,0.9999557733535767,1080,1920,30.0
0,0.0,RIGHT_EAR,-0.12156840413808823,-0.6262567043304443,0.006980689708143473,0.9998729228973389,1080,1920,30.0
0,0.0,MOUTH_LEFT,-0.05645773559808731,-0.5846317410469055,-0.08307767659425735,0.9999796152114868,1080,1920,30.0
0,0.0,MOUTH_RIGHT,-0.08761395514011383,-0.5732364654541016,-0.06357156485319138,0.999951958656311,1080,1920,30.0
0,0.0,LEFT_SHOULDER,0.12809044122695923,-0.501031219959259,-0.03506787493824959,0.9999915361404419,1080,1920,30.0
0,0.0,RIGHT_SHOULDER,-0.15162892639636993,-0.46787822246551514,0.06300021708011627,0.999957799911499,1080,1920,30.0
0,0.0,LEFT_ELBOW,0.16800396144390106,-0.24119004607200623,-0.04026048257946968,0.9868947267532349,1080,1920,30.0
0,0.0,RIGHT_ELBOW,-0.18108594417572021,-0.20501142740249634,0.10572940111160278,0.82805997133255,1080,1920,30.0
0,0.0,LEFT_WRIST,0.2003442943096161,-0.04243387654423714,-0.08436159789562225,0.9850943088531494,1080,1920,30.0
0,0.0,RIGHT_WRIST,-0.26898807287216187,-0.006814818829298019,0.04331083595752716,0.921164870262146,1080,1920,30.0
0,0.0,LEFT_PINKY,0.21798834204673767,0.031761713325977325,-0.10452140867710114,0.9738624691963196,1080,1920,30.0
0,0.0,RIGHT_PINKY,-0.2832851707935333,0.06755321472883224,0.03625943511724472,0.8863740563392639,1080,1920,30.0
0,0.0,LEFT_INDEX,0.18592843413352966,0.040230341255664825,-0.13318419456481934,0.9747310876846313,1080,1920,30.0
0,0.0,RIGHT_INDEX,-0.2782537639141083,0.061137937009334564,0.004579779226332903,0.8928143978118896,1080,1920,30.0
0,0.0,LEFT_THUMB,0.1904824674129486,-0.0238590519875288,-0.09405755251646042,0.9697843194007874,1080,1920,30.0
0,0.0,RIGHT_THUMB,-0.2610836327075958,0.006901524029672146,0.028033938258886337,0.8876159191131592,1080,1920,30.0
0,0.0,LEFT_HIP,0.1091095358133316,0.007282961159944534,-0.024384958669543266,0.9998806715011597,1080,1920,30.0
0,0.0,RIGHT_HIP,-0.10922056436538696,-0.007606453262269497,0.02572825364768505,0.9998247027397156,1080,1920,30.0
0,0.0,LEFT_KNEE,0.1441616714000702,0.3994603753089905,-0.06861577183008194,0.9844750165939331,1080,1920,30.0
0,0.0,RIGHT_KNEE,-0.1521557718515396,0.36753106117248535,0.05146152526140213,0.9775600433349609,1080,1920,30.0
0,0.0,LEFT_ANKLE,0.24478378891944885,0.7152817249298096,0.05673239007592201,0.9596390724182129,1080,1920,30.0
0,0.0,RIGHT_ANKLE,-0.19622310996055603,0.6948336362838745,0.2058452069759369,0.9599359631538391,1080,1920,30.0
0,0.0,LEFT_HEEL,0.2575950622558594,0.7548398971557617,0.06087721139192581,0.5347131490707397,1080,1920,30.0
0,0.0,RIGHT_HEEL,-0.2056310474872589,0.7379322648048401,0.21580998599529266,0.7048020362854004,1080,1920,30.0
0,0.0,LEFT_FOOT_INDEX,0.27040669322013855,0.8102067708969116,-0.0545431487262249,0.9095153212547302,1080,1920,30.0
0,0.0,RIGHT_FOOT_INDEX,-0.278605192899704,0.7856997847557068,0.11442937701940536,0.931921660900116,1080,1920,30.0
1,0.03333333333333333,NOSE,-0.09779029339551926,-0.5939671397209167,-0.10420533269643784,0.9999779462814331,1080,1920,30.0
1,0.03333333333333333,LEFT_EYE_INNER,-0.09590568393468857,-0.6346669793128967,-0.10621501505374908,0.9999290704727173,1080,1920,30.0
1,0.03333333333333333,LEFT_EYE,-0.09554661065340042,-0.6350623965263367,-0.10558141022920609,0.9999297857284546,1080,1920,30.0
1,0.03333333333333333,LEFT_EYE_OUTER,-0.09572099149227142,-0.6353636980056763,-0.10553355515003204,0.9999397993087769,1080,1920,30.0
1,0.03333333333333333,RIGHT_EYE_INNER,-0.118165522813797,-0.6249386668205261,-0.0897422730922699,0.9999178647994995,1080,1920,30.0
1,0.03333333333333333,RIGHT_EYE,-0.11789929121732712,-0.625947117805481,-0.09032654017210007,0.9999051094055176,1080,1920,30.0
1,0.03333333333333333,RIGHT_EYE_OUTER,-0.11815677583217621,-0.6271476149559021,-0.08953122049570084,0.9999136924743652,1080,1920,30.0
1,0.03333333333333333,LEFT_EAR,-0.013533405028283596,-0.6611291170120239,-0.055724989622831345,0.9999218583106995,1080,1920,30.0
