frame,t_sec,landmark,x_world,y_world,z_world,visibility,width,height,fps
0,0.0,NOSE,0.16316622495651245,-0.5157005190849304,0.3161397874355316,0.9995520710945129,1280,720,23.976023976023978
0,0.0,LEFT_EYE_INNER,0.1500747948884964,-0.5486223101615906,0.287511944770813,0.9996516704559326,1280,720,23.976023976023978
0,0.0,LEFT_EYE,0.15021976828575134,-0.5489012002944946,0.2884458601474762,0.9995465874671936,1280,720,23.976023976023978
0,0.0,LEFT_EYE_OUTER,0.14990782737731934,-0.5494537949562073,0.2883601784706116,0.999629020690918,1280,720,23.976023976023978
0,0.0,RIGHT_EYE_INNER,0.18170981109142303,-0.5406001806259155,0.2807222306728363,0.9997381567955017,1280,720,23.976023976023978
0,0.0,RIGHT_EYE,0.18195578455924988,-0.5413923859596252,0.2798859775066376,0.9997219443321228,1280,720,23.976023976023978
0,0.0,RIGHT_EYE_OUTER,0.18163326382637024,-0.5428481698036194,0.28073978424072266,0.999797523021698,1280,720,23.976023976023978
0,0.0,LEFT_EAR,0.06469930708408356,-0.5490246415138245,0.2018602341413498,0.9996989965438843,1280,720,23.976023976023978
0,0.0,RIGHT_EAR,0.1927425116300583,-0.5303117632865906,0.14752577245235443,0.9997571110725403,1280,720,23.976023976023978
0,0.0,MOUTH_LEFT,0.12591040134429932,-0.5009406805038452,0.29006800055503845,0.9994423985481262,1280,720,23.976023976023978
0,0.0,MOUTH_RIGHT,0.1624220907688141,-0.49397599697113037,0.273059219121933,0.9994286894798279,1280,720,23.976023976023978
0,0.0,LEFT_SHOULDER,-0.05615680664777756,-0.4103233218193054,0.22419774532318115,0.9996267557144165,1280,720,23.976023976023978
0,0.0,RIGHT_SHOULDER,0.2240602970123291,-0.39304617047309875,0.032402411103248596,0.9999747276306152,1280,720,23.976023976023978
0,0.0,LEFT_ELBOW,-0.08922028541564941,-0.22532597184181213,0.37202829122543335,0.10782469809055328,1280,720,23.976023976023978
0,0.0,RIGHT_ELBOW,0.35646384954452515,-0.18469086289405823,0.139640212059021,0.917927086353302,1280,720,23.976023976023978
0,0.0,LEFT_WRIST,0.03471939638257027,-0.20536518096923828,0.5807542204856873,0.029522201046347618,1280,720,23.976023976023978
0,0.0,RIGHT_WRIST,0.38853901624679565,-0.22685420513153076,0.3870667517185211,0.3232205808162689,1280,720,23.976023976023978
0,0.0,LEFT_PINKY,0.05107006058096886,-0.18014171719551086,0.6270610690116882,0.03209366276860237,1280,720,23.976023976023978
0,0.0,RIGHT_PINKY,0.4110943377017975,-0.22986358404159546,0.43779343366622925,0.26190468668937683,1280,720,23.976023976023978
0,0.0,LEFT_INDEX,0.08273863792419434,-0.2086067795753479,0.6278345584869385,0.030898384749889374,1280,720,23.976023976023978
0,0.0,RIGHT_INDEX,0.38556522130966187,-0.25735899806022644,0.4516834616661072,0.24993611872196198,1280,720,23.976023976023978
0,0.0,LEFT_THUMB,0.05449512600898743,-0.20977531373500824,0.5892313718795776,0.035170767456293106,1280,720,23.976023976023978
0,0.0,RIGHT_THUMB,0.37975242733955383,-0.23756828904151917,0.4040605127811432,0.2595936059951782,1280,720,23.976023976023978
0,0.0,LEFT_HIP,-0.07517528533935547,0.035184092819690704,0.08348307013511658,0.9999821186065674,1280,720,23.976023976023978
0,0.0,RIGHT_HIP,0.0750403106212616,-0.0357532873749733,-0.08223169296979904,0.9999657869338989,1280,720,23.976023976023978
0,0.0,LEFT_KNEE,-0.07442096620798111,0.40808361768722534,0.1130274087190628,0.9969267249107361,1280,720,23.976023976023978
0,0.0,RIGHT_KNEE,0.5118672251701355,-0.10859934240579605,-0.04211002215743065,0.9977374076843262,1280,720,23.976023976023978
0,0.0,LEFT_ANKLE,-0.006868027150630951,0.7180767059326172,0.07059497386217117,0.9961702227592468,1280,720,23.976023976023978
0,0.0,RIGHT_ANKLE,0.64877849817276,0.2523142695426941,-0.013395379297435284,0.9929981231689453,1280,720,23.976023976023978
0,0.0,LEFT_HEEL,0.006768569350242615,0.7612836360931396,0.06841936707496643,0.9966555833816528,1280,720,23.976023976023978
0,0.0,RIGHT_HEEL,0.6595370769500732,0.2969292998313904,-0.0048204693011939526,0.973828136920929,1280,720,23.976023976023978
0,0.0,LEFT_FOOT_INDEX,0.0845065712928772,0.8016062378883362,0.0931551456451416,0.9744756817817688,1280,720,23.976023976023978
0,0.0,RIGHT_FOOT_INDEX,0.7720102071762085,0.2936609983444214,0.045134592801332474,0.9593840837478638,1280,720,23.976023976023978
1,0.04170833333333333,NOSE,0.14805921912193298,-0.5218719840049744,0.3175699710845947,0.9995503425598145,1280,720,23.976023976023978
1,0.04170833333333333,LEFT_EYE_INNER,0.1319149136543274,-0.5552628636360168,0.2886705994606018,0.9996459484100342,1280,720,23.976023976023978
1,0.04170833333333333,LEFT_EYE,0.13219349086284637,-0.5556120872497559,0.2896158695220947,0.9995367527008057,1280,720,23.976023976023978
1,0.04170833333333333,LEFT_EYE_OUTER,0.1318366527557373,-0.556183934211731,0.28953009843826294,0.9996208548545837,1280,720,23.976023976023978
1,0.04170833333333333,RIGHT_EYE_INNER,0.16640505194664001,-0.5474658608436584,0.2829397916793823,0.9997313618659973,1280,720,23.976023976023978
1,0.04170833333333333,RIGHT_EYE,0.16665160655975342,-0.54824298620224,0.2821216285228729,0.9997133612632751,1280,720,23.976023976023978
1,0.04170833333333333,RIGHT_EYE_OUTER,0.16645404696464539,-0.549753725528717,0.283000111579895,0.9997907876968384,1280,720,23.976023976023978
